Step-by-step static inverse action test results
====================================================================================================

Method: s1_hat = s2 - a1 (assumes linear state transition)
Format: step | ‖s1‖ | ‖error‖ | ‖Δpos‖ | ‖Δori‖ | ‖Δgrip‖
 81 | 2.783654 | 1.567724 | 0.669394 | 0.098368 | 1.414211
 82 | 2.774626 | 1.573968 | 0.684171 | 0.095875 | 1.414246
 83 | 2.765450 | 1.563457 | 0.656278 | 0.105603 | 1.415112
 84 | 2.760265 | 1.567735 | 0.668496 | 0.106071 | 1.414091
 85 | 2.759842 | 1.573677 | 0.683186 | 0.105536 | 1.413711
 86 | 2.759067 | 1.574897 | 0.685676 | 0.106229 | 1.413812
 87 | 2.757667 | 1.595103 | 0.731507 | 0.102405 | 1.413776
 88 | 2.755994 | 1.614323 | 0.771944 | 0.109922 | 1.413527
 89 | 2.754136 | 1.693299 | 0.923739 | 0.129092 | 1.413260
 90 | 2.752173 | 1.715631 | 0.962441 | 0.142040 | 1.413124
 91 | 2.750247 | 1.758038 | 1.031550 | 0.171659 | 1.413200
 92 | 2.748382 | 1.756103 | 1.026024 | 0.183306 | 1.413355
 93 | 2.746957 | 1.765286 | 1.042375 | 0.177139 | 1.413616
 94 | 2.746036 | 1.774574 | 1.056128 | 0.185103 | 1.414018
 95 | 2.744911 | 1.791264 | 1.080904 | 0.199047 | 1.414445
 96 | 2.742804 | 1.810856 | 1.105543 | 0.235494 | 1.414749
 97 | 2.739119 | 1.816819 | 1.111176 | 0.253505 | 1.414868
 98 | 2.734094 | 1.818751 | 1.112595 | 0.260995 | 1.414875
 99 | 2.728751 | 1.823798 | 1.114232 | 0.288195 | 1.414803
100 | 2.723367 | 1.825167 | 1.114070 | 0.297966 | 1.414673
101 | 2.717336 | 1.813602 | 1.093765 | 0.303114 | 1.414550
102 | 2.710453 | 1.811023 | 1.091448 | 0.296273 | 1.414485
103 | 2.703022 | 1.806943 | 1.087426 | 0.286611 | 1.414355
104 | 2.695421 | 1.805110 | 1.086579 | 0.279067 | 1.414174
105 | 2.687725 | 1.804770 | 1.087473 | 0.274000 | 1.414044
106 | 2.679993 | 1.804146 | 1.088501 | 0.265994 | 1.413986
107 | 2.672554 | 1.791841 | 1.068755 | 0.262756 | 1.414007
108 | 2.665658 | 1.772574 | 1.036817 | 0.259803 | 1.414048
109 | 2.659249 | 1.766987 | 1.028068 | 0.256368 | 1.414071
110 | 2.653135 | 1.759656 | 1.016284 | 0.252926 | 1.414067
111 | 2.647274 | 1.752547 | 1.005348 | 0.247410 | 1.414031
112 | 2.641601 | 1.748309 | 0.999114 | 0.242878 | 1.413989
113 | 2.636021 | 1.747089 | 0.998655 | 0.236021 | 1.413967
114 | 2.630447 | 1.747811 | 1.001258 | 0.230271 | 1.413966
115 | 2.624828 | 1.747873 | 1.002415 | 0.225633 | 1.413971
116 | 2.619140 | 1.746139 | 1.000407 | 0.221046 | 1.413975
117 | 2.613379 | 1.744302 | 0.997981 | 0.217451 | 1.413979
118 | 2.607563 | 1.744814 | 1.000374 | 0.210520 | 1.413970
119 | 2.601623 | 1.747239 | 1.005941 | 0.204204 | 1.413941
120 | 2.595316 | 1.759112 | 1.028410 | 0.194216 | 1.413905
121 | 2.588367 | 1.759639 | 1.030790 | 0.186227 | 1.413903
122 | 2.580979 | 1.751913 | 1.018695 | 0.179835 | 1.413902
123 | 2.573490 | 1.753318 | 1.023607 | 0.164998 | 1.413905
124 | 2.566102 | 1.740179 | 1.002782 | 0.153439 | 1.413898
125 | 2.560161 | 1.691600 | 0.918171 | 0.139443 | 1.413871
126 | 2.555924 | 1.689896 | 0.915877 | 0.133525 | 1.413891
127 | 2.552349 | 1.685564 | 0.907772 | 0.133515 | 1.413948
128 | 2.549562 | 1.671403 | 0.880283 | 0.134361 | 1.414439
129 | 2.545829 | 1.671350 | 0.879686 | 0.133592 | 1.414820
130 | 2.540198 | 1.682440 | 0.901886 | 0.124030 | 1.414858
131 | 2.534732 | 1.690173 | 0.917106 | 0.118153 | 1.414794
132 | 2.528620 | 1.691952 | 0.920965 | 0.115437 | 1.414638
133 | 2.522042 | 1.688625 | 0.913343 | 0.118842 | 1.415322
134 | 2.516141 | 1.687649 | 0.911206 | 0.116675 | 1.415715
135 | 2.510438 | 1.683328 | 0.903848 | 0.119092 | 1.415085
136 | 2.503667 | 1.654242 | 0.847700 | 0.128463 | 1.414715
